Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,19225.739999999998,230708.88,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,183,2196.00,USD,,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,220.83,2649.96,USD,,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),,Network Load Balancer,0,60.23,722.76,USD,,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (10 GB per hour), Average number of new TCP connections (25 per second), Average TCP connection duration (10 seconds)"
My Estimate,US East (N. Virginia),,VPN Connection,0,73,876.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (2)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,66.16,793.92,USD,,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,4959.344,59512.13,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (t3.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), EBS Storage amount (100 GB), DT Inbound: All other regions (10 TB per month), DT Outbound: All other regions (100 TB per month), DT Intra-Region: (100 TB per month)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,4844.6,58135.20,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (c5.large), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (enabled), EBS Storage amount (100 GB), DT Inbound: All other regions (100 TB per month), DT Outbound: All other regions (100 TB per month), DT Intra-Region: (100 TB per month)"
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,8687.554999999998,104250.66,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 GB), Quantity (2), Instance type (db.m5.8xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (1 GB)"
My Estimate,US East (N. Virginia),,S3 Standard,0,25.97,311.64,USD,,"S3 Standard storage (1000 GB per month), PUT, COPY, POST, LIST requests to S3 Standard (50000), Data returned by S3 Select (1000 GB per month), Data scanned by S3 Select (1000 GB per month), GET, SELECT, and all other requests from S3 Standard (50000)"
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,"DT Inbound: All other regions (0 TB per month), DT Outbound: All other regions (0 TB per month)"
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,105.05,1260.60,USD,,"Data transfer out to internet (1000 GB per month), Data transfer out to origin (1000 GB per month), Number of requests (HTTPS) (50000 per month)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
